Bemessungsniederschlag h mit MaxMod- und ÖKOSTRA- Niederschlag [mm]
Gitterpunkt: 2424 (M31, R: 108023m, H: 5360606m)
T: Jährlichkeit
DAUER        DAUERMIN       TYP      1T      2T      3T      5T     10T     20T     25T     30T     50T     75T    100T
 2 Tage      2880     Bemessung    57.8    73.3    82.8    94.9   111.9   128.6   133.9   137.8   150.0   160.3   167.6
 2 Tage      2880       ÖKOSTRA    51.6    63.5    70.6    79.6    91.9   104.2   108.2   111.0   120.0   127.7   133.1

 3 Tage      4320       MaxModN    69.6    88.6   100.7   116.1   138.1   159.7   166.4   171.5   186.9   200.1   209.5
 3 Tage      4320     Bemessung    63.9    80.1    90.1   102.8   120.6   138.2   143.6   147.8   160.5   171.3   178.8
 3 Tage      4320       ÖKOSTRA    58.2    71.6    79.5    89.5   103.1   116.7   120.8   124.2   134.2   142.6   148.1

 4 Tage      5760       MaxModN    75.8    92.6   104.7   120.1   142.3   164.2   171.0   176.1   191.8   205.1   214.5
 4 Tage      5760     Bemessung    69.8    85.3    95.6   108.5   127.1   145.2   150.8   155.3   168.4   179.3   187.2
 4 Tage      5760       ÖKOSTRA    63.9    77.9    86.5    97.0   111.9   126.2   130.6   134.5   144.9   153.5   159.8

 5 Tage      7200       MaxModN    81.4    99.0   109.6   123.3   145.7   167.7   174.6   179.7   195.5   209.0   218.4
 5 Tage      7200     Bemessung    75.1    91.3   101.0   113.3   132.2   150.8   156.6   161.2   174.8   186.1   193.9
 5 Tage      7200       ÖKOSTRA    68.8    83.6    92.4   103.3   118.7   134.0   138.7   142.7   154.0   163.1   169.3

 6 Tage      8640       MaxModN    85.8   104.7   115.7   129.4   148.8   170.7   177.6   182.7   198.6   212.1   221.6
 6 Tage      8640     Bemessung    79.3    96.6   106.8   119.5   136.7   155.6   161.6   166.1   179.9   191.5   199.6
 6 Tage      8640       ÖKOSTRA    72.7    88.5    98.0   109.6   124.5   140.6   145.7   149.6   161.3   170.9   177.6
